unidade;ano;mes;total_de_internacoes_via_urgencia;total_de_urgencia_nao_internados
CSSI;2023;9;5;260
CSSI;2023;10;55;1990
CSSI;2023;11;60;2024
CSSI;2023;12;69;2051
IRS;2023;8;86;273
IRS;2023;9;76;312
IRS;2023;10;110;293
IRS;2023;11;84;276
IRS;2023;12;79;271
MOV;2023;4;297;1061
MOV;2023;5;341;1358
MOV;2023;6;343;1258
MOV;2023;7;340;1266
MOV;2023;8;387;1443
MOV;2023;9;350;1392
MOV;2023;10;366;1500
MOV;2023;11;365;1424
MOV;2023;12;378;1304
CSSI;2024;1;82;2472
CSSI;2024;2;81;3441
CSSI;2024;3;95;3014
CSSI;2024;4;78;3049
CSSI;2024;5;91;3039
CSSI;2024;6;71;2640
CSSI;2024;7;65;2465
CSSI;2024;8;79;2488
CSSI;2024;9;54;2698
CSSI;2024;10;65;2544
CSSI;2024;11;71;2491
CSSI;2024;12;74;2409
HRBJA;2024;6;34;409
HRBJA;2024;7;321;2169
HRBJA;2024;8;362;2014
HRBJA;2024;9;342;2167
HRBJA;2024;10;201;2361
HRBJA;2024;11;215;2262
HRBJA;2024;12;254;2346
HRJP;2024;11;102;234
HRJP;2024;12;99;313
IRS;2024;1;95;312
IRS;2024;2;74;303
IRS;2024;3;78;344
IRS;2024;4;80;299
IRS;2024;5;69;318
IRS;2024;6;82;265
IRS;2024;7;78;285
IRS;2024;8;73;229
IRS;2024;9;56;277
IRS;2024;10;84;283
IRS;2024;11;60;258
IRS;2024;12;53;257
MOV;2024;1;366;1534
MOV;2024;2;385;1510
MOV;2024;3;430;1540
MOV;2024;4;390;1402
MOV;2024;5;392;1363
MOV;2024;6;344;1129
MOV;2024;7;353;1262
MOV;2024;8;343;1257
MOV;2024;9;382;1297
MOV;2024;10;357;1315
MOV;2024;11;321;1329
MOV;2024;12;326;1261
CSSI;2025;1;61;2408
CSSI;2025;2;65;2338
CSSI;2025;3;70;2476
CSSI;2025;4;61;2597
CSSI;2025;5;52;2957
CSSI;2025;6;60;2672
CSSI;2025;7;63;2625
CSSI;2025;8;62;2793
CSSI;2025;9;64;2707
CSSI;2025;10;61;2603
CSSI;2025;11;51;2433
CSSI;2025;12;58;2580
HAC;2025;10;70;179
HAC;2025;11;125;285
HAC;2025;12;101;282
HRBJA;2025;1;267;2286
HRBJA;2025;2;233;2139
HRBJA;2025;3;263;2491
HRBJA;2025;4;254;2423
HRBJA;2025;5;274;2797
HRBJA;2025;6;253;2766
HRBJA;2025;7;287;2795
HRBJA;2025;8;260;2854
HRBJA;2025;9;233;2916
HRBJA;2025;10;237;2896
HRBJA;2025;11;249;2719
HRBJA;2025;12;255;2896
HRJP;2025;1;127;353
HRJP;2025;2;120;348
HRJP;2025;3;162;386
HRJP;2025;4;149;314
HRJP;2025;5;165;361
HRJP;2025;6;151;313
HRJP;2025;7;145;304
HRJP;2025;8;160;333
HRJP;2025;9;131;317
HRJP;2025;10;154;405
HRJP;2025;11;144;383
HRJP;2025;12;152;372
IRS;2025;1;77;241
IRS;2025;2;55;228
IRS;2025;3;78;300
IRS;2025;4;79;278
IRS;2025;5;71;258
IRS;2025;6;82;230
IRS;2025;7;73;249
IRS;2025;8;71;255
IRS;2025;9;74;269
IRS;2025;10;94;249
IRS;2025;11;65;233
IRS;2025;12;68;245
MOV;2025;1;402;1450
MOV;2025;2;346;1356
MOV;2025;3;396;1578
MOV;2025;4;402;1524
MOV;2025;5;409;1432
MOV;2025;6;380;1308
MOV;2025;7;338;1389
MOV;2025;8;360;1401
MOV;2025;9;374;1377
MOV;2025;10;392;1446
MOV;2025;11;362;1359
MOV;2025;12;366;1346
CSSI;2026;1;60;2280
CSSI;2026;2;69;2244
CSSI;2026;3;70;2825
CSSI;2026;4;64;2550
CSSI;2026;5;58;2596
CSSI;2026;6;59;2823
HAC;2026;1;110;254
HAC;2026;2;106;272
HAC;2026;3;137;257
HAC;2026;4;124;311
HAC;2026;5;130;309
HAC;2026;6;129;240
HJK;2026;2;93;705
HJK;2026;3;862;5014
HJK;2026;4;774;5116
HJK;2026;5;794;5276
HJK;2026;6;871;5218
HRBJA;2026;1;264;2970
HRBJA;2026;2;304;2793
HRBJA;2026;3;293;3289
HRBJA;2026;4;263;3405
HRBJA;2026;5;281;3114
HRBJA;2026;6;278;2973
HRJP;2026;1;157;404
HRJP;2026;2;152;359
HRJP;2026;3;157;379
HRJP;2026;4;176;411
HRJP;2026;5;168;383
HRJP;2026;6;156;427
IRS;2026;1;68;248
IRS;2026;2;69;249
IRS;2026;3;85;228
IRS;2026;4;73;248
IRS;2026;5;89;262
IRS;2026;6;80;226
MOV;2026;1;379;1441
MOV;2026;2;373;1258
MOV;2026;3;422;1455
MOV;2026;4;397;1363
MOV;2026;5;405;1241
MOV;2026;6;382;1203
